Z,HQ,HK,N_CTX_Q,N_CTX_K,D_HEAD,causal,dropout_p,layout,use_exp2,scale_per_head,mismatched_elems,total_elems,mismatched_percentage,greatest_abs_diff,greatest_rel_diff
4,6,2,108,256,128,True,0.0,bhsd,False,False,36,331776,0.0,0.0140380859375,3.787109375
4,6,1,512,256,64,True,0.0,bhsd,False,False,3693,786432,0.5,0.0517578125,123.4375
4,6,2,1024,1024,32,True,0.0,bhsd,False,False,1919,786432,0.2,0.0625,486.5
4,6,2,1023,1024,32,True,0.0,bhsd,False,False,1876,785664,0.2,0.04443359375,123.75
4,6,6,1024,1023,32,True,0.0,bhsd,False,False,2015,786432,0.3,0.048828125,82.6875
4,6,6,2048,2048,32,True,0.0,bhsd,False,False,2089,1572864,0.1,0.04541015625,241.125
1,1,1,2,4,16,False,0.0,bhsd,False,False,4,32,12.5,0.01953125,0.154296875
1,2,2,2,4,16,False,0.0,bhsd,False,False,16,64,25.0,0.037109375,0.491943359375
1,4,1,2,4,16,False,0.0,bhsd,False,False,16,128,12.5,0.029052734375,1.470703125
1,4,2,2,4,16,False,0.0,bhsd,False,False,10,128,7.8,0.02392578125,0.4521484375
1,1,1,4,2,16,False,0.0,bhsd,False,False,8,64,12.5,0.025390625,3.955078125
1,1,1,4,4,16,False,0.0,bhsd,False,False,6,64,9.4,0.0229949951171875,1.470703125
1,2,2,4,4,16,False,0.0,bhsd,False,False,10,128,7.8,0.02392578125,0.4521484375
2,1,1,4,4,16,False,0.0,bhsd,False,False,10,128,7.8,0.02392578125,0.4521484375
2,2,2,4,4,16,False,0.0,bhsd,False,False,22,256,8.6,0.0302734375,0.92041015625
1,1,1,128,64,16,False,0.0,bhsd,False,False,18,2048,0.9,0.017578125,0.40185546875
3,3,3,128,128,64,False,0.0,bhsd,False,False,46,73728,0.1,0.01708984375,5.13671875
4,6,6,108,256,224,False,0.0,bhsd,False,False,25,580608,0.0,0.01300048828125,4.55078125
4,6,1,113,203,256,False,0.0,bhsd,False,False,53,694272,0.0,0.0155029296875,11.1875
4,6,1,128,217,256,False,0.0,bhsd,False,False,48,786432,0.0,0.012603759765625,7.5859375
4,6,2,113,211,128,False,0.0,bhsd,False,False,20,347136,0.0,0.015380859375,1.705078125
4,6,2,108,256,128,False,0.0,bhsd,False,False,8,331776,0.0,0.01123046875,3.02734375
